,ind,duration,offset,exponent,N,date,year,month,Ks,CI_low,CI_high,R2,S,S_max,S_min,S_CI_low,S_CI_high,dSdt,dSdt_CI_low,dSdt_CI_high,delta_h,delta_h_min,delta_h_max,Q,Q_min,Q_max,SQ,SQ_min,SQ_max,SQ_CI_low,SQ_CI_high,S_list,Q_list
36,36,8,0.0,1,7,2017-10-26,2017,10,0.572,0.4280268766286498,0.7160402967807028,0.724,1.354,2.806,0.338,0.7519876417718754,2.4499137112062876,0.36630744733986914,0.2853811756577559,0.4472337190219824,1.712,1.139,2.035,5.701,5.485,6.051,0.273,0.059,0.464,0.1370168596135898,0.41760598141081917,"[0.33750434929629236, 1.2461062886122658, 1.3538444809552095, 0.7519876417718754, 2.094045734093751, 2.301893916267366, 2.8057816883188242]","[5.733272999333333, 5.623049855333334, 5.484763582666667, 5.488285484666666, 5.6369073893333335, 5.888089204, 6.050548090150538]"
2,2,29,0.0,1,28,2018-10-17,2018,10,0.478,0.4384881694722949,0.5170149227511548,0.652,1.933,2.975,0.531,1.5728053689629529,2.379382004640268,0.07796732705799458,0.0711782471934696,0.08475640692251957,2.11,0.825,2.707,3.334,3.023,3.686,0.564,0.155,0.914,0.4403126490051313,0.7286786173769735,"[0.7819619016274295, 0.5308885957601857, 0.5777469862635414, 1.014375719647338, 1.5739049093866853, 1.529923292437383, 1.7202518278972259, 1.6646211711901644, 1.5927355482932846, 1.1613742987203737, 1.308443270637384, 1.4035607545464102, 2.216203910852083, 1.2788665603871474, 1.9422152247204394, 2.3158833156061327, 1.9236204908986196, 2.5550176507076316, 2.0783459402255806, 2.5100143400871504, 2.2253001815806743, 2.5614916288918956, 2.379382004640268, 2.4969139774262783, 2.974809828063194, 2.5216612480465224, 2.910090793652553, 2.893684182017651]","[3.3902760746666663, 3.414876294666666, 3.505519551333333, 3.525919446, 3.6519469040000003, 3.6519469040000003, 3.68552001, 3.6445196433333336, 3.586004156, 3.4205278559999996, 3.332822467333333, 3.187645773333333, 3.240132142, 3.0816583506666664, 3.02275878568421, 3.401390418666667, 3.2876276746666666, 3.102536091333333, 3.1769207853333334, 3.0608690999999997, 3.053884289333333, 3.1154615306666664, 3.2126025182608693, 3.054179256, 3.2539188840000004, 3.360661421333333, 3.4709199613333332, 3.455787824313725]"
37,37,9,0.0,1,6,2018-11-17,2018,11,1.556,1.01866442495569,2.0936306546121184,0.309,1.294,2.194,0.643,0.6429928364135407,2.1937596855499955,0.20157833001045503,0.086331847018346,0.31682481300256404,0.922,0.625,1.2,4.433,3.864,6.119,0.318,0.163,0.416,0.1628066267401027,0.415705353330896,"[1.3954968678545145, 1.1019580232454884, 0.6429928364135407, 1.1929402873204893, 1.9399513602393461, 2.1937596855499955]","[3.8975007546666665, 3.8643700986666665, 3.949426686666667, 4.102939138666667, 4.666649935333333, 6.118635150666666]"
15,15,17,0.0,1,16,2019-07-19,2019,7,0.676,0.6253794947396853,0.7273075074516568,0.75,2.941,3.688,0.683,2.458413051853123,3.256199834101854,0.15178394210309443,0.13216980529607572,0.17139807891011313,2.028,1.126,2.547,4.981,4.453,5.526,0.555,0.126,0.815,0.47122702803415983,0.6932443079096151,"[0.6829998049295076, 1.6009710748833292, 2.023539457162623, 2.269421991149539, 2.458413051853123, 2.8610547181078725, 2.9083656020449036, 2.786479353020721, 3.256199834101854, 2.9743751804630696, 3.0107079684921327, 3.420662836667826, 3.5607906632583353, 3.1501776872167815, 3.687946901767248, 3.6106859608680697]","[5.42903848, 5.52584654, 5.427327673333333, 5.49637937, 5.217045936666667, 5.139705676666667, 4.9497766400000005, 4.840408899333333, 4.868914478, 4.879550976, 4.930161356666667, 4.800101704333334, 4.6698532733333336, 4.5441089833333335, 4.527764880333334, 4.453371809279999]"
42,42,8,0.0,1,6,2019-11-21,2019,11,0.698,0.47216722961757346,0.9237463416906015,0.0,1.575,2.61,1.206,1.2061784469697843,2.610183035229978,0.21360269642106883,0.12061709330863156,0.3065882995335061,1.466,0.87,1.964,6.625,6.4,6.942,0.258,0.185,0.376,0.1854348799375898,0.37601616661259335,"[1.6284343049615675, 1.2783946763164433, 1.2061784469697843, 1.5224994924634263, 2.028737902283681, 2.610183035229978]","[6.399868169333334, 6.4403022000000005, 6.504593134666667, 6.674788901333334, 6.789932089333334, 6.941677691]"
16,16,16,0.0,1,15,2020-04-30,2020,4,0.531,0.48256170191304315,0.5792483100419948,0.793,2.132,3.533,0.782,1.6224230458719942,2.368733121283913,0.1658791063929013,0.148892304506872,0.1828659082789306,2.091,1.134,2.469,5.116,4.144,6.666,0.408,0.142,0.586,0.3148519931962026,0.5343746736934185,"[0.8775687588918997, 0.7822655590916634, 1.4756799336450226, 1.631517203835421, 1.6133288879085672, 1.8774723038090189, 1.8821742442936351, 2.1318896220609984, 2.321089883962844, 2.320321641733333, 2.2326498542729185, 2.416376358604982, 3.527424422319331, 2.6619527476781153, 3.5328959562394675]","[5.46823955, 5.506142766666667, 5.383141666666667, 5.226071916666666, 5.0810958, 4.882842804, 4.6672103719999996, 4.431166246666666, 4.393466557, 4.216787423, 4.144175478666667, 4.341664511, 6.024605676666667, 6.314439923333333, 6.66577472]"
1,1,31,0.0,1,28,2020-09-27,2020,9,0.536,0.5009757906616413,0.5710935692566398,0.804,1.579,2.352,0.037,1.400616370795096,1.7345052805094903,0.059472729927081136,0.05352195782074101,0.06542350203342126,1.775,0.688,1.947,2.474,2.223,2.811,0.576,0.015,1.0,0.5415428132461777,0.7138738967256373,"[0.0782834005311348, 0.3568265973175935, 0.036590943744323035, 0.7101852599775509, 0.7021560045267337, 1.1426938806577553, 1.1555620558920057, 1.4216280510608803, 1.2727639954158623, 1.6035786909874976, 1.6260512103531273, 1.3717946820685218, 1.7409825454473329, 1.5206274964473394, 1.553787409399191, 1.8892882722340203, 1.4013553884547518, 1.537222173952773, 1.795402882781722, 1.712935359590737, 2.0137907008364575, 1.667418666269441, 1.8920048223440968, 1.8230588018972238, 1.732193947552312, 1.7345052805094903, 2.077317400575696, 2.3520299458064513]","[2.364511793333333, 2.4642695199999998, 2.507865593333333, 2.5281003066666665, 2.5355334666666667, 2.528926213333333, 2.55081274, 2.62514434, 2.500432433333333, 2.590043306666667, 2.6160593666666667, 2.6139946000000003, 2.7383525466666665, 2.7723327066666665, 2.811097226, 2.6465294233333334, 2.414479146666667, 2.2999730866666668, 2.30498752, 2.2232522566666666, 2.26923756, 2.4351268133333335, 2.404568266666667, 2.3364309666666667, 2.24658412, 2.2531913733333333, 2.3469022833333333, 2.3520299458064513]"
19,19,13,0.0,1,11,2020-11-09,2020,11,0.486,0.3932369874045864,0.5795829207535357,0.529,1.672,3.583,0.837,1.2848356011262236,2.28652586876481,0.16190929394696688,0.1130360674447994,0.21078252044913437,1.707,1.296,2.88,4.607,3.555,6.621,0.388,0.2,0.541,0.2876360085858972,0.44328254134229944,"[0.8374488610784692, 1.5871664247974562, 1.5378745808148087, 1.6721266590055572, 1.7614785078800956, 1.6889277621388912, 0.8811634676918896, 1.338830722900814, 2.482138193366786, 2.28652586876481, 3.582788987686208]","[3.5547524376666666, 3.6486668746666666, 3.8533176976666668, 4.077633948333333, 4.229668617333333, 4.428493848666666, 4.406804949666666, 4.654600547, 5.094838297, 6.102819038, 6.621240116363636]"
33,33,9,0.0,1,6,2020-12-03,2020,12,0.377,0.2394939139295588,0.5142457731960175,0.763,0.826,2.15,0.156,0.15627860736284838,2.1500108442129484,0.3692755000040451,0.32931259352846537,0.4092384064796248,1.616,1.162,2.252,4.629,4.455,4.826,0.204,0.032,0.468,0.03238404406019621,0.4677190034424027,"[0.15627860736284838, 0.18811254329409532, 0.4040574283440961, 1.2482255659855337, 1.5249643560573989, 2.1500108442129484]","[4.825790351333333, 4.742008019333333, 4.634138709333333, 4.4552532246666665, 4.517461694666666, 4.596800276210526]"
17,17,16,0.0,1,14,2021-04-23,2021,4,0.452,0.3732039140170395,0.5314577200610333,0.282,1.02,1.9,0.493,0.797672080582172,1.1790697837821773,0.06723809112275562,0.05314533670030527,0.08133084554520598,1.529,0.88,1.759,2.6,2.299,3.048,0.384,0.183,0.792,0.26166978458330625,0.47493111419905926,"[0.5184955804041671, 0.4927046939690971, 0.5869162184185188, 0.797672080582172, 0.9839778041745402, 0.950004435087964, 1.2565689456651647, 1.122158192558443, 1.2147948820843755, 1.1790697837821773, 0.8261453258414375, 1.0566021510685217, 1.09019353357349, 1.8999607826056972]","[2.6567647666666665, 2.6933996266666664, 2.81141579, 3.04839201, 3.0324048166666664, 2.78761198, 2.6457920066666665, 2.5229678866666663, 2.439079366666667, 2.409078307, 2.309881017, 2.298802069, 2.3374250043333338, 2.4004535316610167]"
30,30,9,0.0,1,7,2021-05-12,2021,5,0.479,0.34665127212237207,0.6104533130746654,0.773,0.507,1.182,0.055,0.1823342806414332,0.9452816046439839,0.16750984328864055,0.1445751713425365,0.1904445152347446,1.066,0.766,1.412,2.617,2.356,2.805,0.202,0.023,0.423,0.07311068824502735,0.34205449061331517,"[0.05531264878888997, 0.19552046806817458, 0.3093559124939764, 0.7086152335966487, 0.50669760610243, 0.7520344369512721, 1.1819479756913192]","[2.371912507, 2.356282223333333, 2.5171039493333334, 2.716203499666667, 2.7630235586666667, 2.804731845333333, 2.7927208026666666]"
